scenario,mpa_coverage,forecast_horizon,fishing_binary,fishing_hours,fishing_binary_bau,fishing_hours_bau,region,fishing_binary_delta,fishing_hours_delta_absolute,fishing_hours_delta,unprotected_effort,protected_effort,fraction_effort_protected
Protecting unfished pixels,0.05,1,102,4327.038821789527,131,6691.396866744509,"Inside
MPAs",-0.22137404580152673,-2364.358044954982,-0.3533429703901701,51376756.96596836,74355.58897476748,0.0014451697015368781
Protecting unfished pixels,0.05,1,21935,53494421.412567824,21828,54166151.41923561,"Outside
MPAs",0.004901960784313725,-671730.0066677853,-0.012401287318139406,51376756.96596836,74355.58897476748,0.0014451697015368781
Protecting unfished pixels,0.05,1,809,1376840.313102961,811,1392553.6889113095,"Partial
MPA overlap",-0.002466091245376079,-15713.375808348414,-0.011283856366524037,51376756.96596836,74355.58897476748,0.0014451697015368781
Protecting unfished pixels,0.05,2,96,4181.517918687555,138,6871.006497075825,"Inside
MPAs",-0.30434782608695654,-2689.48857838827,-0.3914257073593028,51376756.96596836,74355.58897476748,0.0014451697015368781
Protecting unfished pixels,0.05,2,21840,52833962.84177592,21735,53416774.49071334,"Outside
MPAs",0.004830917874396135,-582811.6489374265,-0.01091064847127282,51376756.96596836,74355.58897476748,0.0014451697015368781
Protecting unfished pixels,0.05,2,818,1336628.0260911763,816,1350585.0821777096,"Partial
MPA overlap",0.0024509803921568627,-13957.056086533237,-0.010334081333127573,51376756.96596836,74355.58897476748,0.0014451697015368781
Protecting unfished pixels,0.05,3,88,3681.076626862436,144,7876.204394484452,"Inside
MPAs",-0.3888888888888889,-4195.127767622016,-0.5326331767824335,51376756.96596836,74355.58897476748,0.0014451697015368781
Protecting unfished pixels,0.05,3,21683,52851808.5699947,21617,54012335.67437792,"Outside
MPAs",0.0030531526113706806,-1160527.1043832153,-0.021486334369608458,51376756.96596836,74355.58897476748,0.0014451697015368781
Protecting unfished pixels,0.05,3,799,1327447.3754062725,799,1346599.8102655527,"Partial
MPA overlap",0,-19152.43485928024,-0.014222811196968263,51376756.96596836,74355.58897476748,0.0014451697015368781
Protecting unfished pixels,0.1,1,226,14863.221951746691,271,20219.781563059452,"Inside
MPAs",-0.16605166051660517,-5356.559611312761,-0.26491678926437723,51360510.9229959,90601.63194727994,0.001760926585416963
Protecting unfished pixels,0.1,1,21758,53409686.25612172,21688,54152623.03453927,"Outside
MPAs",0.0032275912947251936,-742936.77841755,-0.013719312875088156,51360510.9229959,90601.63194727994,0.001760926585416963
Protecting unfished pixels,0.1,1,809,1383306.6090768771,811,1392553.6889113095,"Partial
MPA overlap",-0.002466091245376079,-9247.079834432341,-0.00664037581320233,51360510.9229959,90601.63194727994,0.001760926585416963
Protecting unfished pixels,0.1,2,187,14039.504612290526,271,20931.811266453937,"Inside
MPAs",-0.30996309963099633,-6892.306654163411,-0.3292742594717193,51360510.9229959,90601.63194727994,0.001760926585416963
Protecting unfished pixels,0.1,2,21665,52811144.78678589,21602,53402713.68594391,"Outside
MPAs",0.002916396629941672,-591568.8991580158,-0.011077506334920996,51360510.9229959,90601.63194727994,0.001760926585416963
Protecting unfished pixels,0.1,2,817,1338011.1597932882,816,1350585.0821777096,"Partial
MPA overlap",0.0012254901960784314,-12573.922384421341,-0.009309981688933587,51360510.9229959,90601.63194727994,0.001760926585416963
Protecting unfished pixels,0.1,3,184,11617.417577274306,277,23017.7441434575,"Inside
MPAs",-0.33574007220216606,-11400.326566183196,-0.49528426830756966,51360510.9229959,90601.63194727994,0.001760926585416963
Protecting unfished pixels,0.1,3,21508,51704766.85435692,21484,53997194.13462902,"Outside
MPAs",0.0011171104077452988,-2292427.2802720964,-0.04245456300111595,51360510.9229959,90601.63194727994,0.001760926585416963
Protecting unfished pixels,0.1,3,795,1323168.4334381046,799,1346599.8102655527,"Partial
MPA overlap",-0.0050062578222778474,-23431.37682744814,-0.01740040110567624,51360510.9229959,90601.63194727994,0.001760926585416963
Protecting unfished pixels,0.16,1,403,19489.70417045545,528,32059.914193133314,"Inside
MPAs",-0.23674242424242425,-12570.210022677864,-0.39208495527945575,51340206.220633015,110906.33431018087,0.0021555672715871227
Protecting unfished pixels,0.16,1,21443,53318926.915380314,21431,54140782.9019092,"Outside
MPAs",5.599365405254071e-4,-821855.9865288883,-0.015179979720978632,51340206.220633015,110906.33431018087,0.0021555672715871227
Protecting unfished pixels,0.16,1,806,1381007.40655828,811,1392553.6889113095,"Partial
MPA overlap",-0.006165228113440197,-11546.282353029354,-0.008291445022888972,51340206.220633015,110906.33431018087,0.0021555672715871227
Protecting unfished pixels,0.16,2,333,17895.072497408906,541,34660.47624548179,"Inside
MPAs",-0.3844731977818854,-16765.403748072884,-0.4837037907192161,51340206.220633015,110906.33431018087,0.0021555672715871227
Protecting unfished pixels,0.16,2,21331,52575866.15804974,21332,53388985.02096482,"Outside
MPAs",-4.687792987061691e-5,-813118.8629150838,-0.015230086554291821,51340206.220633015,110906.33431018087,0.0021555672715871227
Protecting unfished pixels,0.16,2,813,1330029.262721022,816,1350585.0821777096,"Partial
MPA overlap",-0.003676470588235294,-20555.819456687663,-0.015219936698503333,51340206.220633015,110906.33431018087,0.0021555672715871227
Protecting unfished pixels,0.16,3,291,17682.662399858757,525,38592.36050016165,"Inside
MPAs",-0.44571428571428573,-20909.698100302896,-0.541809255233696,51340206.220633015,110906.33431018087,0.0021555672715871227
Protecting unfished pixels,0.16,3,21190,51319926.05171255,21236,53981619.518272325,"Outside
MPAs",-0.0021661329817291393,-2661693.466559775,-0.049307402969983406,51340206.220633015,110906.33431018087,0.0021555672715871227
Protecting unfished pixels,0.16,3,797,1314310.944405765,799,1346599.8102655527,"Partial
MPA overlap",-0.0025031289111389237,-32288.86585978768,-0.023978071000485466,51340206.220633015,110906.33431018087,0.0021555672715871227
Protecting unfished pixels,0.2,1,496,23119.555316695358,703,39139.205827915066,"Inside
MPAs",-0.29445234708392604,-16019.650511219708,-0.40929932461210267,51337235.43854779,113877.1163953811,0.0022133071714197624
Protecting unfished pixels,0.2,1,21256,53197783.6374285,21256,54133703.610274546,"Outside
MPAs",0,-935919.9728460461,-0.017289043801326186,51337235.43854779,113877.1163953811,0.0022133071714197624
Protecting unfished pixels,0.2,1,808,1378036.6503444994,811,1392553.6889113095,"Partial
MPA overlap",-0.0036991368680641184,-14517.038566810079,-0.010424760411327061,51337235.43854779,113877.1163953811,0.0022133071714197624
Protecting unfished pixels,0.2,2,414,21536.122407790182,703,41427.70184328708,"Inside
MPAs",-0.41109530583214793,-19891.5794354969,-0.48015165095913037,51337235.43854779,113877.1163953811,0.0022133071714197624
Protecting unfished pixels,0.2,2,21162,52376253.572922364,21170,53382217.79536704,"Outside
MPAs",-3.778932451582428e-4,-1005964.2224446759,-0.018844556558157498,51337235.43854779,113877.1163953811,0.0022133071714197624
Protecting unfished pixels,0.2,2,814,1326724.0346315922,816,1350585.0821777096,"Partial
MPA overlap",-0.0024509803921568627,-23861.047546117334,-0.017667193175007766,51337235.43854779,113877.1163953811,0.0022133071714197624
Protecting unfished pixels,0.2,3,375,20545.230779369125,692,46515.05688711393,"Inside
MPAs",-0.45809248554913296,-25969.826107744808,-0.5583101009802103,51337235.43854779,113877.1163953811,0.0022133071714197624
Protecting unfished pixels,0.2,3,21002,50979088.676488146,21069,53973696.82188531,"Outside
MPAs",-0.003180027528596516,-2994608.145397164,-0.05548273180692909,51337235.43854779,113877.1163953811,0.0022133071714197624
Protecting unfished pixels,0.2,3,796,1309139.6301984326,799,1346599.8102655527,"Partial
MPA overlap",-0.0037546933667083854,-37460.18006712012,-0.027818346461620905,51337235.43854779,113877.1163953811,0.0022133071714197624
Protecting unfished pixels,0.3,1,706,34526.50693262951,1085,62792.32152418451,"Inside
MPAs",-0.3493087557603687,-28265.814591554998,-0.4501476280132181,51309947.33295389,141165.22198927,0.002743676763811934
Protecting unfished pixels,0.3,1,20827,53043067.098839976,20874,54110050.49457818,"Outside
MPAs",-0.0022516048672990324,-1066983.3957382068,-0.01971876547860768,51309947.33295389,141165.22198927,0.002743676763811934
Protecting unfished pixels,0.3,1,804,1378558.2355558474,811,1392553.6889113095,"Partial
MPA overlap",-0.008631319358816275,-13995.453355462058,-0.010050207375777104,51309947.33295389,141165.22198927,0.002743676763811934
Protecting unfished pixels,0.3,2,565,29081.51289395105,1085,67234.12082207327,"Inside
MPAs",-0.4792626728110599,-38152.60792812222,-0.567459014286635,51309947.33295389,141165.22198927,0.002743676763811934
Protecting unfished pixels,0.3,2,20729,52191515.50094889,20788,53356411.376388215,"Outside
MPAs",-0.0028381758706946315,-1164895.8754393235,-0.02183235051588991,51309947.33295389,141165.22198927,0.002743676763811934
Protecting unfished pixels,0.3,2,811,1325139.3311614678,816,1350585.0821777096,"Partial
MPA overlap",-0.006127450980392157,-25445.75101624173,-0.018840539076007346,51309947.33295389,141165.22198927,0.002743676763811934
Protecting unfished pixels,0.3,3,511,26734.030279121765,1069,74949.12446499837,"Inside
MPAs",-0.5219831618334893,-48215.0941858766,-0.643304301818673,51309947.33295389,141165.22198927,0.002743676763811934
Protecting unfished pixels,0.3,3,20548,50731057.007053696,20692,53945262.75430744,"Outside
MPAs",-0.0069592112893872024,-3214205.747253746,-0.05958272484263869,51309947.33295389,141165.22198927,0.002743676763811934
Protecting unfished pixels,0.3,3,792,1304231.3610498742,799,1346599.8102655527,"Partial
MPA overlap",-0.008760951188986232,-42368.4492156785,-0.03146328173573954,51309947.33295389,141165.22198927,0.002743676763811934
Visalli et al. 2020,0.16,1,947,204523.97947052788,1841,569802.7535659588,"Inside
MPAs",-0.485605649103748,-365278.77409543097,-0.6410617916628711,49748124.56663482,1702987.9883083599,0.03309914798226739
Visalli et al. 2020,0.16,1,16126,50891751.58993872,16070,51732415.12719655,"Outside
MPAs",0.0034847542003733664,-840663.5372578278,-0.01625022793138219,49748124.56663482,1702987.9883083599,0.03309914798226739
Visalli et al. 2020,0.16,1,4765,2804701.8261470404,4859,3263178.624251139,"Partial
MPA overlap",-0.019345544350689442,-458476.79810409853,-0.14050006171798626,49748124.56663482,1702987.9883083599,0.03309914798226739
Visalli et al. 2020,0.16,2,439,72986.19948409342,1798,543509.1629425037,"Inside
MPAs",-0.7558398220244716,-470522.9634584103,-0.8657130284815191,49748124.56663482,1702987.9883083599,0.03309914798226739
Visalli et al. 2020,0.16,2,16112,50261521.69087173,16066,51086019.93193706,"Outside
MPAs",0.0028631893439561807,-824498.2410653308,-0.016139410393759906,49748124.56663482,1702987.9883083599,0.03309914798226739
Visalli et al. 2020,0.16,2,4660,2544843.307159119,4825,3144701.484508497,"Partial
MPA overlap",-0.03419689119170984,-599858.1773493784,-0.19075202536851713,49748124.56663482,1702987.9883083599,0.03309914798226739
Visalli et al. 2020,0.16,3,498,114593.30405313497,1792,585060.4528942532,"Inside
MPAs",-0.7220982142857143,-470467.1488411182,-0.8041342505953873,49748124.56663482,1702987.9883083599,0.03309914798226739
Visalli et al. 2020,0.16,3,15995,50300494.973739184,15971,51551832.89031613,"Outside
MPAs",0.0015027236866821114,-1251337.9165769443,-0.02427339332898879,49748124.56663482,1702987.9883083599,0.03309914798226739
Visalli et al. 2020,0.16,3,4574,2623005.1269766507,4797,3229918.3458275017,"Partial
MPA overlap",-0.04648738795080259,-606913.2188508511,-0.1879035795548449,49748124.56663482,1702987.9883083599,0.03309914798226739
Expert-derived EBSA,0.2,1,1549,794407.1353583505,3570,2289112.732060304,"Inside
MPAs",-0.5661064425770308,-1494705.5967019536,-0.6529628601369281,45223871.13217698,6227241.4227662515,0.12103220151199551
Expert-derived EBSA,0.2,1,15626,39961575.45857649,15539,40748547.95298246,"Outside
MPAs",0.005598815882617929,-786972.49440597,-0.0193128966292005,45223871.13217698,6227241.4227662515,0.12103220151199551
Expert-derived EBSA,0.2,1,3522,11193047.613900807,3661,12527735.819970896,"Partial
MPA overlap",-0.03796776836929801,-1334688.2060700897,-0.10653866151475011,45223871.13217698,6227241.4227662515,0.12103220151199551
Expert-derived EBSA,0.2,2,900,498280.91525632865,3580,2172436.313936746,"Inside
MPAs",-0.7486033519553073,-1674155.3986804176,-0.7706349723304998,45223871.13217698,6227241.4227662515,0.12103220151199551
Expert-derived EBSA,0.2,2,15492,39344587.317959994,15442,40134397.444701724,"Outside
MPAs",0.0032379225488926304,-789810.1267417297,-0.01967913254035897,45223871.13217698,6227241.4227662515,0.12103220151199551
Expert-derived EBSA,0.2,2,3507,10939540.41602281,3667,12467396.820749572,"Partial
MPA overlap",-0.0436323970548132,-1527856.4047267623,-0.12254814911994626,45223871.13217698,6227241.4227662515,0.12103220151199551
Expert-derived EBSA,0.2,3,959,399080.40800743824,3564,2221448.223857611,"Inside
MPAs",-0.7309203142536476,-1822367.8158501727,-0.8203512448674481,45223871.13217698,6227241.4227662515,0.12103220151199551
Expert-derived EBSA,0.2,3,15391,38458298.45016588,15351,40352813.495205246,"Outside
MPAs",0.0026056934401667642,-1894515.0450393632,-0.04694877211633511,45223871.13217698,6227241.4227662515,0.12103220151199551
Expert-derived EBSA,0.2,3,3395,10277948.922807533,3645,12792549.969975008,"Partial
MPA overlap",-0.06858710562414266,-2514601.0471674744,-0.196567615766162,45223871.13217698,6227241.4227662515,0.12103220151199551
Sala et al. 2021 food,0.03,1,33,382473.1145007795,35,432754.8390624806,"Inside
MPAs",-0.05714285714285714,-50281.72456170112,-0.11618986091670602,45832821.08012246,5618291.474820652,0.10919669557817716
Sala et al. 2021 food,0.03,1,21251,40145278.25641132,21143,41015487.45668881,"Outside
MPAs",0.005108073594097338,-870209.200277485,-0.021216600221962527,45832821.08012246,5618291.474820652,0.10919669557817716
Sala et al. 2021 food,0.03,1,1585,12861340.723424139,1592,14117154.209262444,"Partial
MPA overlap",-0.0043969849246231155,-1255813.4858383052,-0.08895656073618223,45832821.08012246,5618291.474820652,0.10919669557817716
Sala et al. 2021 food,0.03,2,25,402521.43948428775,35,464985.5569403323,"Inside
MPAs",-0.2857142857142857,-62464.117456044536,-0.13433560789945145,45832821.08012246,5618291.474820652,0.10919669557817716
Sala et al. 2021 food,0.03,2,21154,39366083.778786704,21069,40278149.69104632,"Outside
MPAs",0.004034363282547819,-912065.912259616,-0.022644185973179517,45832821.08012246,5618291.474820652,0.10919669557817716
Sala et al. 2021 food,0.03,2,1573,12625507.794440346,1585,14031095.331401575,"Partial
MPA overlap",-0.007570977917981073,-1405587.5369612295,-0.10017660800974862,45832821.08012246,5618291.474820652,0.10919669557817716
Sala et al. 2021 food,0.03,3,36,433839.8792423044,42,544209.3393159822,"Inside
MPAs",-0.14285714285714285,-110369.46007367776,-0.20280699374325578,45832821.08012246,5618291.474820652,0.10919669557817716
Sala et al. 2021 food,0.03,3,21065,38667986.591930054,20952,40829965.62447964,"Outside
MPAs",0.0053932798778159605,-2161979.0325495824,-0.05295079237718893,45832821.08012246,5618291.474820652,0.10919669557817716
Sala et al. 2021 food,0.03,3,1552,11695556.592030354,1566,13992636.725242281,"Partial
MPA overlap",-0.008939974457215836,-2297080.1332119275,-0.16416349386588922,45832821.08012246,5618291.474820652,0.10919669557817716
Sala et al. 2021 food,0.05,1,164,881576.4225565232,205,1108139.5140751959,"Inside
MPAs",-0.2,-226563.09151867265,-0.20445358065563807,41813971.52415167,9637141.03079167,0.18730675688500248
Sala et al. 2021 food,0.05,1,19791,30621294.360023875,19671,31811937.64476644,"Outside
MPAs",0.006100350770169285,-1190643.284742564,-0.03742756250933502,41813971.52415167,9637141.03079167,0.18730675688500248
Sala et al. 2021 food,0.05,1,2865,20242089.53661913,2894,22645319.34617217,"Partial
MPA overlap",-0.010020732550103663,-2403229.8095530383,-0.10612479218400893,41813971.52415167,9637141.03079167,0.18730675688500248
Sala et al. 2021 food,0.05,2,135,850942.6386581971,202,1124239.793626966,"Inside
MPAs",-0.3316831683168317,-273297.1549687688,-0.24309507323795332,41813971.52415167,9637141.03079167,0.18730675688500248
Sala et al. 2021 food,0.05,2,19707,29792706.843103897,19603,31222364.407925095,"Outside
MPAs",0.005305310411671683,-1429657.5648211986,-0.04578953554389725,41813971.52415167,9637141.03079167,0.18730675688500248
Sala et al. 2021 food,0.05,2,2842,19795103.90950423,2884,22427626.377835825,"Partial
MPA overlap",-0.014563106796116505,-2632522.468331594,-0.11737855910303521,41813971.52415167,9637141.03079167,0.18730675688500248
Sala et al. 2021 food,0.05,3,109,614301.4461683535,208,1238087.5025802667,"Inside
MPAs",-0.47596153846153844,-623786.0564119131,-0.5038303472992793,41813971.52415167,9637141.03079167,0.18730675688500248
Sala et al. 2021 food,0.05,3,19629,28943097.884736028,19507,31689041.635962814,"Outside
MPAs",0.0062541651714769055,-2745943.7512267865,-0.08665278624616114,41813971.52415167,9637141.03079167,0.18730675688500248
Sala et al. 2021 food,0.05,3,2764,18411885.971382715,2845,22439682.55049476,"Partial
MPA overlap",-0.028471001757469243,-4027796.5791120455,-0.17949436539703806,41813971.52415167,9637141.03079167,0.18730675688500248
Sala et al. 2021 food,0.1,1,852,1324667.5174693319,993,1741284.8688283253,"Inside
MPAs",-0.1419939577039275,-416617.35135899344,-0.23925858359943522,40214601.383117095,11236511.171826312,0.2183919960880751
Sala et al. 2021 food,0.1,1,17880,27139160.768964887,17833,28283753.018694326,"Outside
MPAs",0.0026355632815566648,-1144592.2497294396,-0.04046818853823657,40214601.383117095,11236511.171826312,0.2183919960880751
Sala et al. 2021 food,0.1,1,3892,22769214.75841959,3944,25540358.617491137,"Partial
MPA overlap",-0.013184584178498986,-2771143.859071549,-0.10850058531181901,40214601.383117095,11236511.171826312,0.2183919960880751
Sala et al. 2021 food,0.1,2,687,1229469.8525370283,959,1745870.3872232137,"Inside
MPAs",-0.28362877997914493,-516400.5346861854,-0.29578400462334115,40214601.383117095,11236511.171826312,0.2183919960880751
Sala et al. 2021 food,0.1,2,17833,26378931.6028495,17787,27805366.001546808,"Outside
MPAs",0.0025861584303142745,-1426434.3986973092,-0.05130068773840117,40214601.383117095,11236511.171826312,0.2183919960880751
Sala et al. 2021 food,0.1,2,3867,22188645.418302197,3943,25222994.19061786,"Partial
MPA overlap",-0.019274663961450673,-3034348.7723156624,-0.12030089486538209,40214601.383117095,11236511.171826312,0.2183919960880751
Sala et al. 2021 food,0.1,3,563,1194936.5355940724,952,1843872.3500324518,"Inside
MPAs",-0.40861344537815125,-648935.8144383794,-0.35194183286438363,40214601.383117095,11236511.171826312,0.2183919960880751
Sala et al. 2021 food,0.1,3,17744,25664357.234712373,17707,28218454.92962575,"Outside
MPAs",0.0020895690969673013,-2554097.694913376,-0.0905116067227303,40214601.383117095,11236511.171826312,0.2183919960880751
Sala et al. 2021 food,0.1,3,3752,20686013.090920802,3901,25304484.409379553,"Partial
MPA overlap",-0.03819533452960779,-4618471.318458751,-0.1825159226222698,40214601.383117095,11236511.171826312,0.2183919960880751
Sala et al. 2021 food,0.16,1,1485,1560318.7705540734,1881,2202107.1932483716,"Inside
MPAs",-0.21052631578947367,-641788.4226942982,-0.29144286193788027,39092353.39220287,12358759.16274054,0.240203924639004
Sala et al. 2021 food,0.16,1,15765,25653196.718815558,15712,26805204.81755499,"Outside
MPAs",0.003373217922606925,-1152008.098739434,-0.0429770302663374,39092353.39220287,12358759.16274054,0.240203924639004
Sala et al. 2021 food,0.16,1,5028,23560957.115715757,5177,26558084.494210538,"Partial
MPA overlap",-0.028781147382654047,-2997127.3784947805,-0.1128517901638626,39092353.39220287,12358759.16274054,0.240203924639004
Sala et al. 2021 food,0.16,2,1156,1392708.8039515484,1848,2162102.6185080414,"Inside
MPAs",-0.37445887445887444,-769393.814556493,-0.3558544390864357,39092353.39220287,12358759.16274054,0.240203924639004
Sala et al. 2021 food,0.16,2,15728,24933910.432081442,15687,26430770.342657294,"Outside
MPAs",0.002613629119653216,-1496859.9105758518,-0.056633230555525334,39092353.39220287,12358759.16274054,0.240203924639004
Sala et al. 2021 food,0.16,2,4950,22867757.729119755,5154,26181357.618222576,"Partial
MPA overlap",-0.03958090803259604,-3313599.8891028203,-0.12656333324733743,39092353.39220287,12358759.16274054,0.240203924639004
Sala et al. 2021 food,0.16,3,1001,1347149.217985877,1844,2289235.2769622724,"Inside
MPAs",-0.4571583514099783,-942086.0589763953,-0.41152871810821795,39092353.39220287,12358759.16274054,0.240203924639004
Sala et al. 2021 food,0.16,3,15623,24174877.694427747,15609,26764219.255815808,"Outside
MPAs",8.969184444871549e-4,-2589341.5613880605,-0.09674638877520786,39092353.39220287,12358759.16274054,0.240203924639004
Sala et al. 2021 food,0.16,3,4820,21356278.430969715,5107,26313357.15625965,"Partial
MPA overlap",-0.05619737615038183,-4957078.725289933,-0.18838640375124846,39092353.39220287,12358759.16274054,0.240203924639004
Sala et al. 2021 food,0.2,1,1570,1580931.361610324,2164,2258882.8828392588,"Inside
MPAs",-0.2744916820702403,-677951.5212289349,-0.3001269018324655,38982930.23498506,12468182.319958348,0.24233066499084688
Sala et al. 2021 food,0.2,1,15190,25552226.105618294,15132,26703117.54599203,"Outside
MPAs",0.003832936822627544,-1150891.4403737374,-0.043099515941968314,38982930.23498506,12468182.319958348,0.24233066499084688
Sala et al. 2021 food,0.2,1,5296,23589422.273787003,5474,26603396.07618261,"Partial
MPA overlap",-0.03251735476799415,-3013973.8023956083,-0.11329282147905724,38982930.23498506,12468182.319958348,0.24233066499084688
Sala et al. 2021 food,0.2,2,1224,1408135.6518180354,2136,2212324.4118146366,"Inside
MPAs",-0.42696629213483145,-804188.7599966011,-0.36350399412578627,38982930.23498506,12468182.319958348,0.24233066499084688
Sala et al. 2021 food,0.2,2,15153,24832307.034074266,15105,26330651.971844316,"Outside
MPAs",0.0031777557100297915,-1498344.93777005,-0.05690496913529708,38982930.23498506,12468182.319958348,0.24233066499084688
Sala et al. 2021 food,0.2,2,5212,22895365.258541185,5448,26231254.195728954,"Partial
MPA overlap",-0.04331864904552129,-3335888.9371877685,-0.12717230035195676,38982930.23498506,12468182.319958348,0.24233066499084688
Sala et al. 2021 food,0.2,3,1060,1357627.2207496583,2124,2340662.1992205787,"Inside
MPAs",-0.5009416195856874,-983034.9784709204,-0.41998156709595386,38982930.23498506,12468182.319958348,0.24233066499084688
Sala et al. 2021 food,0.2,3,15049,24063261.699560996,15034,26658102.398386613,"Outside
MPAs",9.977384594918185e-4,-2594840.6988256164,-0.09733778721559191,38982930.23498506,12468182.319958348,0.24233066499084688
Sala et al. 2021 food,0.2,3,5080,21388350.015840832,5402,26368047.091430545,"Partial
MPA overlap",-0.05960755275823769,-4979697.075589713,-0.1888534656481285,38982930.23498506,12468182.319958348,0.24233066499084688
Sala et al. 2021 food,0.3,1,1637,1584748.4331090064,2379,2280969.8734768135,"Inside
MPAs",-0.3118957545187053,-696221.4403678072,-0.3052304409906904,38929117.32495076,12521995.229992619,0.24337656871113694
Sala et al. 2021 food,0.3,1,14971,25524375.75972013,14906,26672284.92337626,"Outside
MPAs",0.004360660136857641,-1147909.1636561267,-0.04303752629194773,38929117.32495076,12521995.229992619,0.24337656871113694
Sala et al. 2021 food,0.3,1,5302,23592845.959375933,5485,26612141.70816084,"Partial
MPA overlap",-0.033363719234275294,-3019295.748784907,-0.11345557159193295,38929117.32495076,12521995.229992619,0.24337656871113694
Sala et al. 2021 food,0.3,2,1273,1410319.593317692,2346,2234405.2787881563,"Inside
MPAs",-0.45737425404944587,-824085.6854704644,-0.36881656756441805,38929117.32495076,12521995.229992619,0.24337656871113694
Sala et al. 2021 food,0.3,2,14951,24804383.53149158,14896,26300289.86912714,"Outside
MPAs",0.003692266380236305,-1495906.337635558,-0.05687794108275372,38929117.32495076,12521995.229992619,0.24337656871113694
Sala et al. 2021 food,0.3,2,5225,22898789.359396614,5447,26239535.43147261,"Partial
MPA overlap",-0.04075637965852763,-3340746.0720759965,-0.12731727209121962,38929117.32495076,12521995.229992619,0.24337656871113694
Sala et al. 2021 food,0.3,3,1097,1360231.3127407404,2331,2366531.73284554,"Inside
MPAs",-0.5293865293865294,-1006300.4201047998,-0.4252216043157869,38929117.32495076,12521995.229992619,0.24337656871113694
Sala et al. 2021 food,0.3,3,14854,24034697.153873183,14837,26627023.837793585,"Outside
MPAs",0.0011457841881782032,-2592326.683920402,-0.09735698212884508,38929117.32495076,12521995.229992619,0.24337656871113694
Sala et al. 2021 food,0.3,3,5071,21389365.1428005,5392,26373256.11839861,"Partial
MPA overlap",-0.0595326409495549,-4983890.975598112,-0.18897518581792527,38929117.32495076,12521995.229992619,0.24337656871113694
Random,0.03,1,128,145536.28221490828,138,168539.50250402244,"Inside
MPAs",-0.07246376811594203,-23003.220289114164,-0.13648563065246475,51214593.95782314,236518.5971200028,0.004596957876614067
Random,0.03,1,21918,53213927.41642954,21821,54004303.3135983,"Outside
MPAs",0.004445259154025939,-790375.8971687555,-0.014635424376815146,51214593.95782314,236518.5971200028,0.004596957876614067
Random,0.03,1,810,1375622.2909758622,811,1392553.6889113095,"Partial
MPA overlap",-0.0012330456226880395,-16931.397935447283,-0.012158524350098239,51214593.95782314,236518.5971200028,0.004596957876614067
Random,0.03,2,117,131166.18184088942,131,160683.1681043534,"Inside
MPAs",-0.10687022900763359,-29516.986263463972,-0.18369681536459742,51214593.95782314,236518.5971200028,0.004596957876614067
Random,0.03,2,21831,52565759.289747134,21742,53262962.32910608,"Outside
MPAs",0.004093459663324441,-697203.0393589437,-0.013089828444970853,51214593.95782314,236518.5971200028,0.004596957876614067
Random,0.03,2,817,1336971.9823995228,816,1350585.0821777096,"Partial
MPA overlap",0.0012254901960784314,-13613.099778186763,-0.01007940925590318,51214593.95782314,236518.5971200028,0.004596957876614067
Random,0.03,3,129,110109.78636262055,141,166282.79907843523,"Inside
MPAs",-0.0851063829787234,-56173.01271581468,-0.3378161362879031,51214593.95782314,236518.5971200028,0.004596957876614067
Random,0.03,3,21726,52681223.65544886,21620,53853929.07969393,"Outside
MPAs",0.004902867715078631,-1172705.424245067,-0.02177567067594415,51214593.95782314,236518.5971200028,0.004596957876614067
Random,0.03,3,799,1330212.243056666,799,1346599.8102655527,"Partial
MPA overlap",0,-16387.567208886612,-0.01216958972068691,51214593.95782314,236518.5971200028,0.004596957876614067
Random,0.05,1,565,1001384.9956343853,619,1145831.342745366,"Inside
MPAs",-0.08723747980613894,-144446.34711098077,-0.12606248557042707,50297044.378313884,1154068.1766292688,0.022430383315751878
Random,0.05,1,21453,51640702.20342705,21340,53027011.47335704,"Outside
MPAs",0.005295220243673852,-1386309.2699299902,-0.026143454654738166,50297044.378313884,1154068.1766292688,0.022430383315751878
Random,0.05,1,809,1362147.9970740566,811,1392553.6889113095,"Partial
MPA overlap",-0.002466091245376079,-30405.691837252816,-0.021834484429123745,50297044.378313884,1154068.1766292688,0.022430383315751878
Random,0.05,2,523,957501.0053281349,607,1128440.4669793667,"Inside
MPAs",-0.13838550247116968,-170939.46165123186,-0.15148292413582634,50297044.378313884,1154068.1766292688,0.022430383315751878
Random,0.05,2,21381,50655271.415887795,21266,52295205.03023087,"Outside
MPAs",0.0054076930311295025,-1639933.614343077,-0.03135915832809265,50297044.378313884,1154068.1766292688,0.022430383315751878
Random,0.05,2,814,1316231.4968083885,816,1350585.0821777096,"Partial
MPA overlap",-0.0024509803921568627,-34353.58536932105,-0.02543607642543235,50297044.378313884,1154068.1766292688,0.022430383315751878
Random,0.05,3,532,854759.6914974123,611,1135404.6680890433,"Inside
MPAs",-0.12929623567921442,-280644.9765916311,-0.24717616941277334,50297044.378313884,1154068.1766292688,0.022430383315751878
Random,0.05,3,21213,49788627.500595376,21150,52884807.21068341,"Outside
MPAs",0.0029787234042553193,-3096179.710088037,-0.05854573124854975,50297044.378313884,1154068.1766292688,0.022430383315751878
